,AI,사람,만들,개발,인간,gpt,무료,생각,학습,데이터,개발자,문제,사용,해석,인공지능,모르,기술,발전,가능,뉴스,수준,정도,구글,필요,나오,대체,유튜브,영상,방법,기업,한국인,세상,코드,소리,음성,때문,이용,코딩,내용,로봇,댓글,인류,저작,여기,우리,암호,대화,시대,만드,기계
AI,614,191,119,151,176,30,12,112,105,95,57,125,54,60,20,43,105,89,69,53,54,33,37,59,22,62,48,39,13,20,25,27,29,28,2,21,48,54,11,36,12,21,38,3,13,7,12,19,24,34
사람,191,108,31,26,39,23,12,45,37,32,25,31,23,8,12,19,25,8,14,14,25,9,5,17,17,16,21,11,15,11,2,11,13,8,3,10,13,15,1,9,10,4,5,6,13,1,10,8,6,33
만들,119,31,54,29,26,9,1,11,9,7,7,21,15,10,12,9,16,7,13,6,8,9,3,5,3,6,20,3,4,6,1,6,8,4,0,8,6,5,2,20,0,2,8,2,0,5,0,1,16,13
개발,151,26,29,114,29,6,2,9,14,9,24,15,14,0,22,5,21,13,17,10,5,11,14,10,4,5,38,7,1,4,1,11,5,2,1,6,12,8,10,6,6,4,0,0,1,0,0,1,5,7
인간,176,39,26,29,104,4,0,37,28,19,8,24,3,3,24,7,24,18,22,4,30,10,2,8,3,17,3,7,1,2,0,3,6,1,0,19,10,14,10,18,16,6,4,1,6,0,2,10,8,51
gpt,30,23,9,6,4,40,15,10,10,10,2,9,16,16,8,10,10,3,2,6,7,14,10,7,11,2,11,4,8,1,3,1,7,1,6,4,6,8,13,0,0,1,1,9,2,0,4,0,3,1
무료,12,12,1,2,0,15,26,6,1,25,2,1,19,0,0,5,2,1,11,1,3,4,6,4,4,0,5,0,0,8,0,2,0,1,23,6,3,0,6,0,0,2,1,0,5,0,7,0,2,1
생각,112,45,11,9,37,10,6,60,15,15,4,12,4,9,7,5,19,11,12,14,17,9,2,17,6,8,1,7,24,2,3,1,2,2,5,13,10,1,2,2,2,6,4,12,12,0,7,1,5,9
학습,105,37,9,14,28,10,1,15,56,40,2,31,10,15,7,4,18,5,7,6,5,1,9,14,5,5,40,17,2,1,3,1,4,6,0,8,16,5,6,2,6,2,16,2,0,2,2,0,1,3
데이터,95,32,7,9,19,10,25,15,40,62,0,40,26,2,3,8,13,7,9,7,8,6,9,12,1,2,16,7,2,5,0,1,1,10,6,12,8,5,5,3,1,2,16,0,3,0,0,1,2,3
개발자,57,25,7,24,8,2,2,4,2,0,62,3,2,0,6,15,2,6,3,4,16,14,0,25,4,17,0,9,0,3,0,7,15,0,0,4,0,14,2,0,12,0,0,0,0,0,4,4,5,1
문제,125,31,21,15,24,9,1,12,31,40,3,84,34,20,1,9,9,11,5,5,3,11,14,4,4,9,15,18,8,3,7,0,7,10,0,5,13,7,5,7,4,1,34,2,2,0,1,0,10,2
사용,54,23,15,14,3,16,19,4,10,26,2,34,36,4,1,5,2,7,8,2,2,5,9,2,9,3,31,9,1,10,0,8,1,2,8,7,5,1,9,0,2,1,17,2,4,0,7,1,8,4
해석,60,8,10,0,3,16,0,9,15,2,0,20,4,98,0,0,2,0,1,0,4,5,0,8,6,2,0,1,35,0,29,0,1,14,0,3,0,0,4,0,1,0,0,43,3,18,0,0,0,0
인공지능,20,12,12,22,24,8,0,7,7,3,6,1,1,0,52,9,1,9,12,2,14,13,5,5,4,11,4,7,1,2,4,4,5,1,0,9,2,2,6,5,7,2,5,0,0,0,6,3,7,0
모르,43,19,9,5,7,10,5,5,4,8,15,9,5,0,9,8,4,7,14,1,14,4,2,0,7,3,4,5,3,4,1,2,15,5,1,2,1,10,3,0,4,3,5,0,2,0,4,2,4,0
기술,105,25,16,21,24,10,2,19,18,13,2,9,2,2,1,4,42,39,11,5,18,10,3,14,3,9,1,2,0,1,1,2,3,1,1,4,10,4,4,2,0,4,0,0,1,0,3,0,6,0
발전,89,8,7,13,18,3,1,11,5,7,6,11,7,0,9,7,39,28,11,8,8,7,2,7,2,11,1,5,0,1,0,2,2,0,0,4,3,6,0,7,0,7,5,0,1,0,0,4,3,2
가능,69,14,13,17,22,2,11,12,7,9,3,5,8,1,12,14,11,11,18,2,20,7,1,4,3,6,3,4,1,2,0,0,7,3,5,5,6,4,0,1,0,0,2,0,0,1,7,1,4,0
뉴스,53,14,6,10,4,6,1,14,6,7,4,5,2,0,2,1,5,8,2,26,7,0,3,0,4,1,3,5,1,0,1,0,2,0,6,0,1,1,11,0,5,1,6,0,2,0,4,2,1,0
수준,54,25,8,5,30,7,3,17,5,8,16,3,2,4,14,14,18,8,20,7,24,12,0,3,4,8,1,4,0,0,0,6,6,2,1,6,3,6,4,0,10,2,0,2,4,0,7,1,8,0
정도,33,9,9,11,10,14,4,9,1,6,14,11,5,5,13,4,10,7,7,0,12,14,1,5,3,14,0,8,3,3,4,0,3,3,1,4,1,5,2,1,4,2,1,1,0,2,3,1,3,1
구글,37,5,3,14,2,10,6,2,9,9,0,14,9,0,5,2,3,2,1,3,0,1,30,2,3,0,21,10,2,1,2,1,2,3,1,2,13,1,13,1,1,1,7,1,1,0,0,0,1,0
필요,59,17,5,10,8,7,4,17,14,12,25,4,2,8,5,0,14,7,4,0,3,5,2,36,2,5,4,5,7,1,0,4,1,6,0,3,4,0,0,0,2,0,2,9,0,3,2,5,3,2
나오,22,17,3,4,3,11,4,6,5,1,4,4,9,6,4,7,3,2,3,4,4,3,3,2,8,4,1,3,2,5,0,1,2,0,0,0,1,3,7,2,4,0,1,4,0,1,2,4,1,0
대체,62,16,6,5,17,2,0,8,5,2,17,9,3,2,11,3,9,11,6,1,8,14,0,5,4,26,0,4,1,3,0,3,2,0,0,4,3,5,1,16,2,1,0,1,1,0,1,8,2,7
유튜브,48,21,20,38,3,11,5,1,40,16,0,15,31,0,4,4,1,1,3,3,1,0,21,4,1,0,72,16,0,3,0,10,0,7,2,2,15,0,5,0,0,2,11,0,2,0,3,0,2,9
영상,39,11,3,7,7,4,0,7,17,7,9,18,9,1,7,5,2,5,4,5,4,8,10,5,3,4,16,4,0,1,0,2,4,1,6,2,7,2,3,0,7,0,6,0,1,1,9,1,1,1
방법,13,15,4,1,1,8,0,24,2,2,0,8,1,35,1,3,0,0,1,1,0,3,2,7,2,1,0,0,56,0,3,0,4,23,0,0,1,0,0,1,0,1,0,44,10,23,0,0,0,1
기업,20,11,6,4,2,1,8,2,1,5,3,3,10,0,2,4,1,1,2,0,0,3,1,1,5,3,3,1,0,24,0,5,0,0,0,8,1,0,0,0,0,2,1,0,4,0,0,0,3,0
한국인,25,2,1,1,0,3,0,3,3,0,0,7,0,29,4,1,1,0,0,1,0,4,2,0,0,0,0,0,3,0,12,0,0,2,0,2,1,0,0,0,0,1,0,5,1,3,0,0,0,1
세상,27,11,6,11,3,1,2,1,1,1,7,0,8,0,4,2,2,2,0,0,6,0,1,4,1,3,10,2,0,5,0,10,1,0,0,0,2,2,0,2,2,1,0,0,1,0,2,1,9,3
